"","tau","C","dC","Nt","U","N"
"1",0,0.501099691442136,0.0078383149101918,32,2,10000
"2",0.0625,0.476828115692552,0.00743089109957885,32,2,10000
"3",0.125,0.452418571869129,0.00712897430166261,32,2,10000
"4",0.1875,0.431473859612413,0.00702638218362906,32,2,10000
"5",0.25,0.415471940484653,0.00697856238473902,32,2,10000
"6",0.3125,0.396066228056354,0.00635514072092335,32,2,10000
"7",0.375,0.380953080725247,0.00641533703194986,32,2,10000
"8",0.4375,0.367887502409565,0.00661360694723255,32,2,10000
"9",0.5,0.35528039986382,0.00608274450268033,32,2,10000
"10",0.5625,0.34659226819427,0.00598735835824921,32,2,10000
"11",0.625,0.335025221119345,0.00525802535079606,32,2,10000
"12",0.6875,0.325870550366276,0.00501489530653943,32,2,10000
"13",0.75,0.321593949129635,0.00502435357392572,32,2,10000
"14",0.8125,0.317819694375306,0.00496878515509492,32,2,10000
"15",0.875,0.314571396022714,0.00486167690413869,32,2,10000
"16",0.9375,0.311364063353073,0.0049405445685001,32,2,10000
"17",1,0.31104689064027,0.00499582601552585,32,2,10000
"18",1.0625,0.31337552289567,0.00519208358515624,32,2,10000
"19",1.125,0.315851594340464,0.00554020363288397,32,2,10000
"20",1.1875,0.318683899426646,0.00542167635637292,32,2,10000
"21",1.25,0.322761879784606,0.00562453787369615,32,2,10000
"22",1.3125,0.32826763784973,0.00549208149945558,32,2,10000
"23",1.375,0.335171347719967,0.00537748140807306,32,2,10000
"24",1.4375,0.343056402901791,0.0057837813579622,32,2,10000
"25",1.5,0.353808738568364,0.00563159910985861,32,2,10000
"26",1.5625,0.366291465263988,0.00585413660306842,32,2,10000
"27",1.625,0.380472375055094,0.00622814295766787,32,2,10000
"28",1.6875,0.396393112829103,0.0064660832769316,32,2,10000
"29",1.75,0.410921060624025,0.00676816505946767,32,2,10000
"30",1.8125,0.431463648239825,0.00699665992243927,32,2,10000
"31",1.875,0.451161977846535,0.00721163909660069,32,2,10000
"32",1.9375,0.472992382632214,0.00761712855153389,32,2,10000
"33",0,-0.368200378571018,0.00522109765254498,32,2,10000
"34",0.0625,-0.336752873692689,0.00480134641741621,32,2,10000
"35",0.125,-0.306579336300176,0.00448622438026098,32,2,10000
"36",0.1875,-0.278855179415372,0.00419785813219785,32,2,10000
"37",0.25,-0.250776831942649,0.00380081903977005,32,2,10000
"38",0.3125,-0.226575587943171,0.00357502123672534,32,2,10000
"39",0.375,-0.203772823819851,0.00336242118144735,32,2,10000
"40",0.4375,-0.181800132259157,0.00313972057800296,32,2,10000
"41",0.5,-0.158946932593223,0.00299300267627125,32,2,10000
"42",0.5625,-0.136921128723235,0.0027492442650398,32,2,10000
"43",0.625,-0.1155904287871,0.00263066684118285,32,2,10000
"44",0.6875,-0.0938364849549605,0.00245423265447546,32,2,10000
"45",0.75,-0.0742018140118245,0.00229352742970376,32,2,10000
"46",0.8125,-0.0553184119399095,0.00224580672153413,32,2,10000
"47",0.875,-0.0355625693992411,0.00224208163609443,32,2,10000
"48",0.9375,-0.0163743568516746,0.00230148216834825,32,2,10000
"49",1,0.00360798185415288,0.00228593145422562,32,2,10000
"50",1.0625,0.023587977704806,0.00238745306752897,32,2,10000
"51",1.125,0.0437134566353612,0.00231549902486143,32,2,10000
"52",1.1875,0.0630193312837727,0.00237107900174488,32,2,10000
"53",1.25,0.0818742796670155,0.0024631486280424,32,2,10000
"54",1.3125,0.101065158838814,0.00253145579867267,32,2,10000
"55",1.375,0.121275444464546,0.00267054454033699,32,2,10000
"56",1.4375,0.141442576614239,0.00282134656134959,32,2,10000
"57",1.5,0.161165773122205,0.00294123021440573,32,2,10000
"58",1.5625,0.184051708705983,0.00321260053719441,32,2,10000
"59",1.625,0.207682788756201,0.00333689631644331,32,2,10000
"60",1.6875,0.230760419663982,0.00353806454480478,32,2,10000
"61",1.75,0.255885570017711,0.00381605686163804,32,2,10000
"62",1.8125,0.28186568614812,0.00411422981421476,32,2,10000
"63",1.875,0.30890341295984,0.00444547506431351,32,2,10000
"64",1.9375,0.339033527180311,0.00487456071018649,32,2,10000
